# id,type_bien,ville,prix,surface,nombre_pieces,disponible

1,Appartement,Paris,300000,50,4,Oui
2,Maison,Saint-Denis,450000,120,6,Oui
3,HLM,Bobigny,150000,75,3,Non
4,Appartement,Neuilly-sur-Seine,600000,80,2,Oui
5,Maison,Issy-les-Moulineaux,550000,110,5,Oui
6,HLM,Sarcelles,120000,60,4,Non
7,Appartement,Clichy,350000,45,3,Oui
8,Maison,Chelles,400000,100,6,Oui
9,HLM,Garges-lès-Gonesse,100000,55,2,Non
10,Appartement,Levallois-Perret,420000,60,4,Oui
11,Maison,Montreuil,480000,130,7,Oui
12,HLM,Épinay-sur-Seine,80000,40,2,Non
13,Appartement,Colombes,380000,55,3,Oui
14,Maison,Aubervilliers,520000,90,5,Oui
15,HLM,Drancy,90000,50,2,Non
16,Appartement,Vitry-sur-Seine,330000,70,4,Oui
17,Maison,Nanterre,470000,105,6,Oui
18,HLM,Argenteuil,110000,45,3,Non
19,Appartement,Boulogne-Billancourt,550000,65,3,Oui
20,Maison,Aulnay-sous-Bois,490000,115,6,Oui
21,HLM,Gennevilliers,95000,50,2,Non
22,Appartement,Pantin,310000,40,2,Oui
23,Maison,Clamart,420000,95,5,Oui
24,HLM,Le Blanc-Mesnil,85000,45,3,Non
25,Appartement,Suresnes,370000,60,4,Oui
26,Maison,Bondy,500000,110,6,Oui
27,HLM,Asnières-sur-Seine,75000,35,2,Non
28,Appartement,Rueil-Malmaison,480000,70,3,Oui
29,Maison,Montfermeil,430000,100,5,Oui
30,HLM,Vincennes,90000,40,2,Non
